filename,start_time,end_time,label
h001_0.wav,1,3,rain
h001_0.wav,3,5,rain
h001_0.wav,5,7,rain
h001_0.wav,7,9,rain
h001_1.wav,1,3,rain
h001_1.wav,3,5,rain
h001_1.wav,5,7,rain
h001_1.wav,7,9,rain
h001_2.wav,1,3,rain
h001_2.wav,3,5,rain
h001_2.wav,5,7,rain
h001_2.wav,7,9,rain
h001_3.wav,1,3,rain
h001_3.wav,3,5,rain
h001_3.wav,5,7,rain
h001_3.wav,7,9,rain
h001_4.wav,1,3,rain
h001_4.wav,3,5,rain
h001_4.wav,5,7,rain
h001_4.wav,7,9,rain
h001_5.wav,1,3,rain
h001_5.wav,3,5,rain
h001_5.wav,5,7,rain
h001_5.wav,7,9,rain
h001_6.wav,1,3,rain
h001_6.wav,3,5,rain
h001_6.wav,5,7,rain
h001_6.wav,7,9,rain
h001_7.wav,1,3,rain
h001_7.wav,3,5,rain
h001_7.wav,5,7,rain
h001_7.wav,7,9,rain
h001_8.wav,1,3,rain
h001_8.wav,3,5,rain
h001_8.wav,5,7,rain
h001_8.wav,7,9,rain
h001_9.wav,1,3,rain
h001_9.wav,3,5,rain
h001_9.wav,5,7,rain
h001_9.wav,7,9,rain
h001_10.wav,1,3,rain
h001_10.wav,3,5,rain
h001_10.wav,5,7,rain
h001_10.wav,7,9,rain
h001_11.wav,1,3,rain
h001_11.wav,3,5,rain
h001_11.wav,5,7,rain
h001_11.wav,7,9,rain
h001_12.wav,1,3,rain
h001_12.wav,3,5,rain
h001_12.wav,5,7,rain
h001_12.wav,7,9,rain
h001_13.wav,1,3,rain
h001_13.wav,3,5,rain
h001_13.wav,5,7,rain
h001_13.wav,7,9,rain
h001_14.wav,1,3,rain
h001_14.wav,3,5,rain
h001_14.wav,5,7,rain
h001_14.wav,7,9,rain
h001_15.wav,1,3,rain
h001_15.wav,3,5,rain
h001_15.wav,5,7,rain
h001_15.wav,7,9,rain
h001_16.wav,1,3,rain
h001_16.wav,3,5,rain
h001_16.wav,5,7,rain
h001_16.wav,7,9,rain
h002_0.wav,1,3,rain
h002_0.wav,3,5,rain
h002_0.wav,5,7,rain
h002_0.wav,7,9,rain
h002_1.wav,1,3,rain
h002_1.wav,3,5,rain
h002_1.wav,5,7,rain
h002_1.wav,7,9,rain
